This file was created by CMPT_ME_PRIOR_RETS using the 202111 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
198109,   1.95
198110,   4.01
198111,  -0.27
198112,   1.30
198201,   1.72
198202,   4.88
198203,   2.96
198204,  -0.40
198205,   2.50
198206,   4.96
198207,   4.44
198208,  -3.52
198209,   4.19
198210,   0.18
198211,   5.94
198212,   0.04
198301,  -1.74
198302,   3.78
198303,   0.93
198304,   1.72
198305,  -1.56
198306,   1.80
198307,  -3.11
198308,  -5.43
198309,  -0.03
198310,  -4.52
198311,  -0.13
198312,   0.84
198401,  -2.56
198402,   0.22
198403,   1.07
198404,   2.07
198405,   1.51
198406,  -0.70
198407,   2.83
198408,  -5.59
198409,   3.62
198410,   3.15
198411,   1.64
198412,   1.49
198501,  -6.82
198502,   1.88
198503,   1.58
198504,   3.04
198505,   3.99
198506,   3.57
198507,  -3.91
198508,   1.85
198509,   1.51
198510,   4.88
198511,  -0.47
198512,  -0.23
198601,   3.00
198602,   2.76
198603,   2.41
198604,  -0.36
198605,   2.05
198606,   5.07
198607,   1.85
198608,  -5.28
198609,  -5.79
198610,   4.46
198611,  -0.26
198612,   0.35
198701,   2.20
198702,  -2.07
198703,   1.68
198704,   0.22
198705,  -0.74
198706,  -0.25
198707,   2.66
198708,  -0.86
198709,   0.77
198710,  -7.86
198711,  -1.17
198712,   5.87
198801,  -7.27
198802,  -1.47
198803,   0.58
198804,   2.24
198805,   0.63
198806,  -2.93
198807,   0.65
198808,   0.35
198809,   0.27
198810,   1.33
198811,   0.33
198812,   0.49
198901,  -0.16
198902,   0.99
198903,   3.51
198904,   1.77
198905,   1.52
198906,   0.43
198907,   5.39
198908,  -0.12
198909,   3.40
198910,   1.32
198911,   2.60
198912,   2.80
199001,  -3.27
199002,  -0.54
199003,   1.80
199004,   2.39
199005,   3.03
199006,   2.40
199007,   6.14
199008,   1.88
199009,   5.78
199010,   6.71
199011,  -5.48
199012,   0.29
199101,  -6.45
199102,  -4.61
199103,   2.87
199104,  -2.36
199105,  -0.11
199106,   0.47
199107,   4.22
199108,   1.57
199109,   1.79
199110,   3.06
199111,   1.14
199112,   8.19
199201,  -2.49
199202,  -0.53
199203,  -0.29
199204,  -2.58
199205,   0.21
199206,  -0.58
199207,   1.59
199208,  -0.51
199209,   1.50
199210,   2.48
199211,  -0.15
199212,   4.32
199301,   4.84
199302,   3.14
199303,   3.73
199304,   0.38
199305,   0.22
199306,   4.55
199307,   3.19
199308,   2.65
199309,   3.37
199310,  -2.72
199311,  -4.73
199312,   2.36
199401,   0.00
199402,  -0.30
199403,  -1.27
199404,   0.39
199405,  -2.19
199406,  -0.87
199407,   0.10
199408,   1.55
199409,   1.31
199410,   1.49
199411,  -0.18
199412,   3.48
199501,  -1.81
199502,  -0.39
199503,   0.43
199504,   1.79
199505,  -0.42
199506,   2.93
199507,   2.57
199508,   0.16
199509,   2.91
199510,   4.16
199511,  -0.68
199512,   2.52
199601,   0.54
199602,   0.59
199603,  -1.84
199604,  -0.88
199605,   1.54
199606,   0.98
199607,  -0.17
199608,   0.01
199609,   2.70
199610,   3.79
199611,  -2.37
199612,   0.63
199701,   1.95
199702,  -2.13
199703,   0.90
199704,   4.86
199705,  -5.17
199706,   2.60
199707,   3.79
199708,  -2.56
199709,   1.47
199710,  -0.57
199711,   0.33
199712,   3.98
199801,   0.14
199802,  -1.12
199803,   2.15
199804,   0.74
199805,   1.82
199806,   7.28
199807,   3.74
199808,   1.84
199809,  -0.81
199810,  -5.37
199811,   1.20
199812,   8.91
199901,   3.03
199902,  -0.10
199903,  -1.27
199904,  -9.04
199905,  -5.19
199906,   5.06
199907,   1.66
199908,   3.12
199909,   6.48
199910,   5.50
199911,   5.64
199912,  13.22
200001,   1.92
200002,  18.20
200003,  -6.83
200004,  -8.39
200005,  -8.98
200006,  16.61
200007,  -0.10
200008,   5.73
200009,   1.97
200010,  -4.48
200011,  -2.32
200012,   6.74
200101, -25.30
200102,  12.57
200103,   8.55
200104,  -7.90
200105,   2.21
200106,   0.38
200107,   5.58
200108,   5.53
200109,  11.48
200110,  -8.47
200111,  -8.69
200112,   0.07
200201,   3.75
200202,   6.82
200203,  -1.64
200204,   7.63
200205,   3.16
200206,   6.03
200207,   3.74
200208,   1.90
200209,   9.13
200210,  -5.58
200211, -16.33
200212,   9.64
200301,   1.55
200302,   1.17
200303,   1.48
200304,  -9.33
200305, -10.70
200306,  -1.00
200307,  -0.32
200308,  -0.62
200309,  -0.19
200310,   3.99
200311,   1.46
200312,  -5.57
200401,   2.58
200402,  -1.14
200403,   0.17
200404,  -5.38
200405,   1.50
200406,   2.05
200407,  -2.28
200408,  -1.59
200409,   5.49
200410,  -1.38
200411,   3.16
200412,  -2.87
200501,   3.05
200502,   3.37
200503,   0.41
200504,  -0.69
200505,   0.45
200506,   2.05
200507,   0.06
200508,   2.08
200509,   3.43
200510,  -1.39
200511,   0.35
200512,   0.77
200601,   2.53
200602,  -1.84
200603,   1.26
200604,   0.61
200605,  -3.70
200606,   1.54
200607,  -2.13
200608,  -3.38
200609,  -0.96
200610,  -0.20
200611,  -1.03
200612,   0.79
200701,   0.24
200702,  -1.35
200703,   2.56
200704,  -0.24
200705,  -0.34
200706,   0.51
200707,   2.94
200708,   0.10
200709,   4.63
200710,   5.02
200711,   0.99
200712,   6.63
200801,  -7.75
200802,   6.10
200803,   4.27
200804,  -0.31
200805,   3.31
200806,  12.75
