Ticker,Name,Weight,Market Value,Sector,Country
8984.T,DAIWA HOUSE REIT CORP,0.01,USD 705119.17,Real Estate,JP
9001.T,TOBU RAILWAY LTD,0.01,USD 625622.40,Industrials,JP
9005.T,TOKYU CORP,0.01,USD 713472.71,Industrials,JP
9007.T,ODAKYU ELECTRIC RAILWAY LTD,0.01,USD 566142.09,Industrials,JP
9008.T,KEIO CORP,0.01,USD 724516.22,Industrials,JP
9009.T,KEISEI ELECTRIC RAILWAY LTD,0.01,USD 510421.34,Industrials,JP
9020.T,EAST JAPAN RAILWAY,0.03,USD 1840310.65,Industrials,JP
9021.T,WEST JAPAN RAILWAY,0.01,USD 927805.48,Industrials,JP
9022.T,CENTRAL JAPAN RAILWAY,0.04,USD 2254554.19,Industrials,JP
9041.T,KINTETSU GROUP HOLDINGS LTD,0.01,USD 637837.96,Industrials,JP
9042.T,HANKYU HANSHIN HOLDINGS INC,0.01,USD 743647.93,Industrials,JP
9062.T,NIPPON EXPRESS LTD,0.01,USD 501468.50,Industrials,JP
9064.T,YAMATO HOLDINGS LTD,0.01,USD 641736.58,Industrials,JP
9101.T,NIPPON YUSEN,0.02,USD 1410997.76,Industrials,JP
9143.T,SG HOLDINGS LTD,0.01,USD 842010.16,Industrials,JP
9201.T,JAPAN AIRLINES LTD,0,USD 279226.86,Industrials,JP
9202.T,ANA HOLDINGS INC,0,USD 215087.61,Industrials,JP
9432.T,NIPPON TELEGRAPH AND TELEPHONE COR,0.06,USD 3690289.58,Communication,JP
9433.T,KDDI CORP,0.1,USD 6036525.92,Communication,JP
9434.T,SOFTBANK CORP,0.07,USD 4311979.51,Communication,JP
9435.T,HIKARI TSUSHIN INC,0.01,USD 358287.20,Consumer Discretionary,JP
9501.T,TOKYO ELECTRIC POWER HOLDINGS INC,0.01,USD 344802.60,Utilities,JP
9502.T,CHUBU ELECTRIC POWER INC,0.01,USD 852851.46,Utilities,JP
9503.T,KANSAI ELECTRIC POWER INC,0.01,USD 705960.93,Utilities,JP
9506.T,TOHOKU ELECTRIC POWER INC,0,USD 285534.56,Utilities,JP
9531.T,TOKYO GAS LTD,0.01,USD 908968.28,Utilities,JP
9532.T,OSAKA GAS LTD,0.01,USD 765579.40,Utilities,JP
9533.T,TOHO GAS LTD,0.01,USD 333967.70,Utilities,JP
9602.T,TOHO (TOKYO) LTD,0.01,USD 505329.61,Communication,JP
9613.T,NTT DATA CORP,0.02,USD 1408756.12,Information Technology,JP
9684.T,SQUARE ENIX HLDG LTD,0.01,USD 580630.40,Communication,JP
9697.T,CAPCOM LTD,0.01,USD 506519.05,Communication,JP
9719.T,SCSK CORP,0.01,USD 550949.27,Information Technology,JP
9735.T,SECOM LTD,0.03,USD 1859881.97,Industrials,JP
9766.T,KONAMI HOLDINGS CORP,0.01,USD 761068.67,Communication,JP
9831.T,YAMADA HOLDINGS LTD,0.01,USD 310876.07,Consumer Discretionary,JP
9843.T,NITORI HOLDINGS LTD,0.03,USD 1875035.45,Consumer Discretionary,JP
9962.T,MISUMI GROUP INC,0.02,USD 1057221.28,Industrials,JP
9983.T,FAST RETAILING LTD,0.07,USD 4099419.00,Consumer Discretionary,JP
9984.T,SOFTBANK GROUP CORP,0.12,USD 7641892.13,Communication,JP
A,AGILENT TECHNOLOGIES INC,0.09,USD 5626451.25,Health Care,US
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TR,0.01,USD 846280.54,Real Estate,SG
AAL.L,ANGLO AMERICAN PLC,0.09,USD 5353702.63,Materials,GB
AAP,ADVANCE AUTO PARTS INC,0.03,USD 1575650.61,Consumer Discretionary,US
AAPL,APPLE INC,4.12,USD 255246065.48,Information Technology,US
ABBN.SW,ABB LTD,0.11,USD 6524547.42,Industrials,CH
ABBV,ABBVIE INC,0.32,USD 19686130.36,Health Care,US
ABC,AMERISOURCEBERGEN CORP,0.03,USD 1843347.40,Health Care,US
ABDN.L,ABRDN PLC,0.01,USD 801793.00,Financials,GB
ABF.L,ASSOCIATED BRITISH FOODS PLC,0.01,USD 874990.39,Consumer Staples,GB
ABI.BR,ANHEUSER BUSCH INBEV SA,0.07,USD 4434960.29,Consumer Staples,BE
ABMD,ABIOMED INC,0.02,USD 1475417.72,Health Care,US
ABN.AS,ABN AMRO BANK NV,0.01,USD 488446.24,Financials,NL
ABNB,AIRBNB INC CLASS A,0.03,USD 1767015.77,Consumer Discretionary,US
ABT,ABBOTT LABORATORIES,0.38,USD 23339084.34,Health Care,US
ABX.TO,BARRICK GOLD CORP,0.06,USD 3668212.42,Materials,CA
AC.PA,ACCOR SA,0.01,USD 617276.18,Consumer Discretionary,FR
AC.TO,AIR CANADA VOTING AND VARIABLE VOT,0,USD 236629.17,Industrials,CA
ACA.PA,CREDIT AGRICOLE SA,0.03,USD 1584292.64,Financials,FR
ACGL,ARCH CAPITAL GROUP LTD,0.03,USD 1639337.14,Financials,BM
ACN,ACCENTURE PLC CLASS A,0.36,USD 22572908.91,Information Technology,IE
ACO.X.TO,ATCO LTD CLASS I,0,USD 137638.23,Utilities,CA
ACS.MC,ACS ACTIVIDADES DE CONSTRUCCION Y,0.01,USD 862528.99,Industrials,ES
AD.AS,KONINKLIJKE AHOLD DELHAIZE NV,0.06,USD 3812661.14,Consumer Staples,NL
ADBE,ADOBE INC,0.52,USD 32308962.84,Information Technology,US
ADE.OL,ADEVINTA,0.01,USD 443765.76,Communication,NO
ADEN.SW,ADECCO GROUP AG,0.01,USD 827975.59,Industrials,CH
ADI,ANALOG DEVICES INC,0.15,USD 9590415.36,Information Technology,US
ADM,ARCHER DANIELS MIDLAND,0.06,USD 3520688.76,Consumer Staples,US
ADM.L,ADMIRAL GROUP PLC,0.02,USD 1216065.95,Financials,GB
ADP,AUTOMATIC DATA PROCESSING INC,0.15,USD 8993923.56,Information Technology,US
ADP.PA,AEROPORTS DE PARIS SA,0.01,USD 337966.55,Industrials,FR
ADS.DE,ADIDAS N AG,0.11,USD 6515596.05,Consumer Discretionary,DE
