This file was created by CMPT_ME_BEME_RETS using the 202111 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

,Mkt-RF,SMB,HML,RF
202106,    2.75,    1.80,   -7.76,    0.00
202107,    1.27,   -3.96,   -1.75,    0.00
202108,    2.90,   -0.48,   -0.13,    0.00
202109,   -4.37,    0.80,    5.09,    0.00
202110,    6.65,   -2.28,   -0.44,    0.00
202111,   -1.55,   -1.35,   -0.52,    0.00

 Annual Factors: January-December 
,Mkt-RF,SMB,HML,RF
  1927,   29.47,   -2.83,   -3.40,    3.12
  1928,   35.39,    4.51,   -6.17,    3.56
  1929,  -19.54,  -30.69,   11.65,    4.75
  1930,  -31.23,   -5.34,  -11.76,    2.41
  1931,  -45.11,    3.64,  -14.56,    1.07
  1932,   -9.39,    4.56,   10.83,    0.96
  1933,   57.05,   45.46,   32.39,    0.30
  1934,    3.02,   25.60,  -27.96,    0.16
  1935,   44.96,   10.91,    8.74,    0.17
  1936,   32.07,   17.97,   34.83,    0.18
  1937,  -34.96,  -14.14,   -4.09,    0.31
  1938,   28.48,    9.29,  -12.05,   -0.02
  1939,    2.70,    5.77,  -18.98,    0.02
  1940,   -7.14,    1.18,   -1.60,    0.00
  1941,  -10.53,   -4.04,   11.13,    0.06
  1942,   16.20,    5.09,   19.96,    0.27
  1943,   27.96,   33.29,   38.47,    0.35
  1944,   20.97,   17.53,   16.46,    0.33
  1945,   38.38,   25.14,   10.88,    0.33
  1946,   -6.73,   -3.99,    3.11,    0.35
  1947,    2.95,   -6.99,    9.87,    0.50
  1948,    1.07,   -9.11,    3.74,    0.81
  1949,   19.12,    3.75,   -4.24,    1.10
  1950,   28.82,    1.13,   27.04,    1.20
  1951,   19.22,   -5.22,   -5.67,    1.49
  1952,   11.80,   -6.76,    3.31,    1.66
  1953,   -1.05,   -1.16,   -7.73,    1.82
  1954,   49.35,   -2.06,   26.04,    0.86
  1955,   23.75,   -5.91,    4.90,    1.57
  1956,    5.90,   -0.90,   -1.84,    2.46
  1957,  -13.16,   -2.70,   -6.18,    3.14
  1958,   43.45,   14.51,   13.48,    1.54
  1959,    9.76,    5.46,    1.78,    2.95
  1960,   -1.46,   -2.72,   -4.55,    2.66
  1961,   24.81,    1.51,    5.14,    2.13
  1962,  -12.90,   -8.34,    9.02,    2.73
  1963,   17.84,   -6.06,   15.45,    3.12
  1964,   12.54,   -0.76,    9.65,    3.54
  1965,   10.52,   22.05,    6.95,    3.93
  1966,  -13.51,    2.93,   -1.14,    4.76
  1967,   24.49,   49.63,   -7.30,    4.21
  1968,    8.79,   24.17,   18.49,    5.21
  1969,  -17.54,  -14.12,   -9.95,    6.58
  1970,   -6.49,  -11.76,   21.54,    6.52
  1971,   11.78,    5.98,  -11.26,    4.39
  1972,   13.05,  -12.26,    1.76,    3.84
  1973,  -26.18,  -23.45,   17.47,    6.93
  1974,  -35.75,   -0.72,    9.87,    8.00
  1975,   32.44,   15.43,    9.25,    5.80
  1976,   21.91,   14.58,   24.28,    5.08
  1977,   -8.26,   22.60,    7.50,    5.12
  1978,    1.03,   14.39,    0.59,    7.18
  1979,   13.09,   21.23,   -2.48,   10.38
  1980,   22.13,    5.70,  -24.63,   11.24
  1981,  -18.13,    7.13,   25.12,   14.71
  1982,   10.66,    8.70,   13.36,   10.54
  1983,   13.74,   14.03,   20.49,    8.80
  1984,   -6.05,   -8.20,   19.07,    9.85
  1985,   24.91,    0.58,    1.37,    7.72
  1986,   10.12,   -9.56,    9.33,    6.16
  1987,   -3.87,  -10.85,   -1.62,    5.47
  1988,   11.55,    5.76,   14.37,    6.35
  1989,   20.49,  -12.90,   -4.12,    8.37
  1990,  -13.95,  -14.02,  -10.04,    7.81
  1991,   29.18,   16.16,  -14.72,    5.60
  1992,    6.23,    7.67,   24.49,    3.51
  1993,    8.21,    6.38,   16.86,    2.90
  1994,   -4.10,   -0.30,   -0.77,    3.90
  1995,   31.22,   -9.75,    6.05,    5.60
  1996,   15.96,   -4.42,    8.70,    5.21
  1997,   25.96,   -7.64,   19.11,    5.26
  1998,   19.46,  -25.28,  -10.32,    4.86
  1999,   20.57,   15.58,  -31.96,    4.68
  2000,  -17.60,   -4.58,   45.02,    5.89
  2001,  -15.20,   18.24,   18.50,    3.83
  2002,  -22.76,    4.45,    8.09,    1.65
  2003,   30.75,   26.51,    5.11,    1.02
  2004,   10.72,    4.43,    7.67,    1.20
  2005,    3.09,   -2.36,    9.43,    2.98
  2006,   10.60,    0.08,   11.75,    4.80
  2007,    1.04,   -7.40,  -17.28,    4.66
  2008,  -38.34,    2.45,    0.83,    1.60
  2009,   28.26,    9.35,   -9.42,    0.10
  2010,   17.37,   14.29,   -5.10,    0.12
  2011,    0.44,   -5.79,   -8.54,    0.04
  2012,   16.27,   -1.32,    9.85,    0.06
  2013,   35.20,    7.63,    2.65,    0.02
  2014,   11.71,   -7.80,   -1.46,    0.02
  2015,    0.08,   -3.93,   -9.53,    0.02
  2016,   13.30,    6.63,   22.64,    0.20
  2017,   21.51,   -4.95,  -13.48,    0.80
  2018,   -6.93,   -3.34,   -9.80,    1.81
  2019,   28.28,   -6.06,  -10.48,    2.14
  2020,   23.67,   12.78,  -46.31,    0.44

Copyright 2021 Kenneth R. French
